"type","address(street_number,street_name,location,city,state,country,zipcode,latitude,longitude)","bedrooms","baths","guests","onsite_services","amenities","suitability","house_rules","rate(daily,weekly,monthly)","@special_rate(from,to,daily,weekly,monthly)","@booked(from,to)","title","description","images","rating","reviews"
"home","A-22 Basement,,Sector-41,Noida,Uttar Pradesh,India,201301,28.6092,77.3443","6","3","10","cook,laundry,cleaning","air conditioning,hot water,kitchen,parking",,"Relax and unwind at our Paying guest house which is one of its kinds “PG” in the beautiful city of NCR “Noida”. Our house has everything, literally around the corner and our rented rooms are not just rooms like hotel but also cozy like home","6000,,","2011-12-20,2012-1-19,6500,,","2012-2-1,2012-2-10","Triage home stay","Triage home stay offer you an accommodation that combines a peaceful and a uniquely posh neighborhood in the heart of Noida","Triage1.jpg,Triage2.jpg,Triage3.jpg,Triage4.jpg,Triage.jpg","4","19"
"home","52/625,Shastamangalam,Shastamangalam,Trivandrum,Kerala,India,695017,8.5020,76.9477","5","5","10","cook,laundry,cleaning","television,cable or satellite tv,internet,air conditioning,hot water,swimming pool,kitchen,parking,washer dryer,gym",,"it was extended to meet the demands of a larger family. Tastefully decorated with traditional furniture and pleasing curios, today,","6500,,","2011-12-21,2012-1-20,7000,,","2012-1-15,2012-1-30","Edayadil Tharavadu","when modern machinery was still unheard of in most parts of the country, the house was heaved up using wooden pillars, and a stronger house was constructed beneath it","Edayadil1.jpg,Edayadil2.jpg,Edayadil3.jpg,Edayadil4.jpg,Edayadil.jpg","5","24"
"home","C-15 2nd Floor City Gate Building,Kadri Tollgate,Kadri,Mangalore,Karnataka,India,575002,12.9883,76.1098","6","4","10","cook,laundry,cleaning","television,cable or satellite tv,air conditioning,hot water,swimming pool,parking,washer dryer,gym",,"You will feel at home even in a strange land.  Vacations are priceless experiences to treasure for a lifetime… at Nature Nirvana""","9200,,","2011-12-22,2012-1-21,10000,,","2012-1-1,2012-1-5","Nature Nirvana","This exclusive plantation retreat is a place for all seasons.  Leave the phone, fax and E-mail behind and experience true nature therapy amidst the pure magical beauty of this coffee country… we have only added some beautiful hospitality to it.  Our friendly, attentive staff will serve as your hosts","Nature1.jpg,Nature2.jpg,Nature3.jpg,Nature4.jpg,Nature.jpg",1,"11"
"home",",Village Mohri P.O., Shoghi,Shimla,Himachal Pradesh,India,173219,31.0264,77.1332","8","5","12","cook,laundry,cleaning","television,cable or satellite tv,air conditioning,hot water,kitchen,parking,washer dryer",,"Deepjyoti has a beautiful location from where you can enjoy panoramic view of surrounding lush green forests, heritage toy train and fascinating view of Tara Devi temple.","16000,,","2011-12-23,2012-1-22,20000,,",,"Deepjyoti","Our mission is to provide budget accommodation in Shimla amid homely atmosphere to our esteemed guests with high quality personal services and all basic amenities to make your stay at Shimla a memorable one","Deepjyoti1.jpg,Deepjyoti2.jpg,Deepjyoti.jpg","2","32"
"home","Aapo Aap Building,Sargheen-Panthaghati,Kasumpti,Shimla,Himachal Pradesh,India,171009,31.0760,77.1837","10","6","18","cook,laundry,cleaning","television,cable or satellite tv,air conditioning,hot water,swimming pool,kitchen,parking,washer dryer,gym",,"the property is ideal for couples, honeymooners, or family vacations. Each room is outfitted with clean, contemporary furniture, a balcony as well as all modern amenities to provide you with a home away from home atmosphere.","18000,,","2011-12-24,2012-1-23,20000,,","2012-6-10,2012-7-10","Aapo Aap Home Stay","Aapo Aap Home Stay enjoys a beautiful hilltop location with wonderful view of the valley. Absorbing the energy of the rising sun, we offer everything you need for a restful and relaxing stay.","Aapo1.jpg,Aapo.jpg","3","15"
"home",",Vilg. Talai, Kufri,Shimla,Himachal Pradesh,India,171209,31.1018,77.2623","8","6","16","cook,laundry,cleaning","television,air conditioning,hot water,kitchen,parking,washer dryer,gym",,"North moon is ideal for families or honeymooning couples who dont want any disturbance. We make special arrangements to send our guests to Shimla town to enjoy the evening walk on the mall road and sip of hot coffee in a busy restaurant.","10300,,","2011-12-25,2012-1-24,11000,,",,"North Moon Home Stay","Gentle sun warmth of hill station will give you a new energy and spirit. It is situated on the hill top giving you both the valley view and the view of the great Himalayan range you will enjoy the luxury of staying in one of the most specious home stay accommodation in Shimla.","North1.jpg,North2.jpg,North3.jpg,North4.jpg,North.jpg","4","49"
"home","Emerald Trail,Jungaliagaon,Bhimtal,Nainital,Uttarakhand,India,263136,29.3444,79.5631","6","4","10","cook,cleaning","hot water,kitchen,parking,washer dryer",,"Emerald Trail today is not only known for its warmth and affection, but also a homestay that love and welcome pets, utilize the green habitat and is truly an eco lodge and eco friendly resorts in Bhimtal, Uttarakhand, India.","6500,,","2011-12-27,2012-1-26,7000,,","2012-2-1,2012-2-10","Emerald Trail","He envisioned that one day the small plot of land he impulsively bought would be developed as a sustainable green habitat for a healthy, stress free life where one and all can live in the expanse of nature and co-exist with the wild.","Emerald1.jpg,Emerald2.jpg,Emerald4.jpg,Emerald.jpg","5","20"
"home","26/3, Old Idgah Colony,Agra,Agra,Uttar Pradesh,India,282001,27.1767,78.0081","8","6","15","cook,laundry,cleaning","television,cable or satellite tv,internet,air conditioning,hot water,swimming pool,kitchen,parking,washer dryer,gym",,"The honeymoon hotels in Agra are heaven on Earth for the honeymoon.The government approved hotels, and other hotels of Agra cater to the accommodation needs of the budget travelers.","2200,,","2011-12-28,2012-1-27,3500,,",,"TAJ HOME STAY","The luxury hotels of Agra promise you a time of your life in Agra. Most of the Agra Hotels are located close to its landmark the Taj Mahal.","TAJ1.jpg,TAJ2.jpg,TAJ3.jpg,TAJ4.jpg,TAJ.jpg","1","9"
"home","21, Old Idgah Colony,Agra,Agra,Uttar Pradesh,India,282001,27.1767,78.0081","5","3","8","cook,laundry,cleaning","television,cable or satellite tv,internet,wifi,air conditioning,hot water,swimming pool,kitchen,parking,washer dryer,gym",,"Rose Homestay offers the finest accommocation in Agra,India.Our excellent luxury hotels in Agra offer you the the nicest ambience to relax and enjoy your tour to this historic city of Agra, home to the beautiful Taj Mahal. Enjoy your star seeing the enchanting Taj Mahal and the sights of Agra during your stay at our luxury hotels in Agra","6700,,","2011-12-29,2012-1-28,7000,,",,"Rose Homestay","We are please to introduce you with our home stay, an ideal place to live in. A first class palatial homestay situated in the heart of the city admist lush green surrounding offering the beauty of nature.","Rose1.jpg,Rose2.jpg,Rose3.jpg,Rose4.jpg,Rose.jpg","2","36"
"home","No. 19,Gulmohar Enclave,Shamshabad Road,Agra,Uttar Pradesh,India,282001,27.1767,78.0081","8","4","12","cook,laundry,cleaning","television,cable or satellite tv,internet,wifi,air conditioning,hot water,kitchen,parking,washer dryer,gym",,"e are located in a very desirable location in Gulmohar Enclave which has 24 hours security and yet is close to all major attractions including Taj Mahal and the Red Fort","8900,,","2011-12-30,2012-1-29,9500,,",,"Chatrath Home Stay","We pride ourselves for our Indian Hospitality and welcome you to our home for a memorable trip to Agra. Here you can sample some Indian Cooking and learn a few easy Indian dishes that you can make when you get back home to remind you of brief sojourn here","Chatrath1.jpg,Chatrath2.jpg,Chatrath.jpg","3","23"
