"type","address(street_number,street_name,location,city,state,country,zipcode,latitude,longitude)","bedrooms","baths","guests","onsite_services","amenities","suitability","house_rules","rate(daily,weekly,monthly)","@special_rate(from,to,daily,weekly,monthly)","@booked(from,to)","title","description","images","rating","reviews"
"home","H.No.X1/359,K.B.jacob Road,Kadathanad,Cochin,Kerala,India,682001,9.9312,76.2673","3","3","6","cook,cleaning","air conditioning,hot water,kitchen,parking",,"We have spacious open roof, from which the sunset is visible. We have a lawn and a garden pond with a variety of ornamental fish.","2500,,","2011-11-11,2011-12-10,3000,,","2011-12-20,2012-1-10","Beena Homestay","Spice Market, Dutch palace, and St. Frances and Santacruz Basilica. We have accessible roads, to ferry, aerodrome and railway station.We serve homely south indian food, both veg and non veg, which we cook with our heart and serve with pleasure.","Beena1.jpg,Beena2.jpg,Beena3.jpg,Beena4,jpg, Beena.jpg","1","17"
"home","1/39, Walton Hall,Princess Street,Cochin,Kerala,India,682001,9.9312,76.2673","2","2","4","cook,laundry,cleaning","cable or satellite tv,internet,hot water,kitchen,parking,washer dryer",,"The twin Ensuite rooms capable of accommodating two families, are clean and comfortable","3000,,","2011-11-12,2011-12-11,3500,,","2012-1-25,2012-2-4","Walton's Home Stay","its traditional cuisine and the warm and friendly ways of the villagers .","Walton1.jpg,Walton2.jpg,Walton3.jpg,Walton4.jpg,Walton.jpg","2","12"
"home","1/296,LILLY STREET,Fort Cochin,Cochin,Kerala,India,682001,9.9312,76.2673","4","8","4","cook,laundry,cleaning","internet,air conditioning,hot water,kitchen,parking",,"he historic St. Francis Church, the burial ground of Vasco Da Gama. You find yourself within shouting distance of the Chinese fishing nets and the entrance to the harbour.","5000,,","2011-11-15,2011-12-14,6000,,","2012-1-20,2012-1-30","Chiramel Residency","A backyard garden, a common roof top garden open round the clock.The rooms are large, spacious with teak wood floor, high, lofty, teak wood ceiling, each with attached european toilets with hot and cold showers, rooms with bath tubs and sit outs.","Chiramel1.jpg, Chiramel2.jpg, Chiramel3.jpg,Chiramel4.jpg,Chiramel.jpg","3","0"
"home","Kuppamudi Coffee Estate,Kolagapara, Sultan Battery, Wayanad,Kerala, India,673591,11.6641,76.2653","3","6","3","cook,laundry,cleaning","television,cable or satellite tv,internet,air conditioning,hot water,swimming pool,kitchen,parking,washer dryer",,"The “Machaan” or Treedeck overlooking the pool is ideal to do your yoga and meditate, or for that afternoon siesta. One can relax in the hammocks below the “Machaan” area.","8000,,","2011-11-16,2011-12-15,9000,,",,"Tranquil","Set close to the swimming pool, the Suite is tucked away below the Deluxe room. The Suite offers both space and privacy with the added luxury of a private garden offering the perfect hideaway.","Tranquil1.jpg,Tranquil2.jpg,Tranquil3.jpg,Tranquil4.jpg,Tranquil.jpg","4","50"
"home","83 A,Quail Hill, Upper Coonoor,Nilgiris,Tamil Nadu,India,643102,11.3484,76.7937","2","4","3","cook,laundry,cleaning","television,cable or satellite tv,internet,air conditioning,hot water,kitchen,parking",,"Coonoor as a hill resort has many things going for it. those very features that set it apart as a more sought-after holiday destination","1200,,","2011-11-18,2011-12-17,500,,","2011-12-20,2012-1-10","Orange Mist","Coonoor, near Ooty, is also great when it comes to bird watching. A rich variety of bird species, such as cormorants, thrushes, exotic parakeets, skylarks, and so on, can be sighted in and around Coonoor and the Nilgiris","Orange1.jpg,Orange2.jpg,Orange3.jpg,Orange4.jpg,Orange.jpg","5","7"
"home","43/9, Club Road,Kotagiri,Nilgris,Tamil Nadu,India,643217,11.4203,76.8602","3","3","9","cook,cleaning","television,hot water,kitchen,parking",,"we provide all types of foods like veg, non-veg, chinese and continental which were prepared in a homely preparation.","7500,,","2011-11-20,2011-12-19,8000,,","2012-1-25,2012-2-4","Belair Cottage","ll famous for their natural beauty. Kotagiri Roads are finest. One hour drive from Mettupalayam railway station.","Cottage1.jpg,Cottage2.jpg,Cottage3.jpg,Cottage4.jpg,Cottage.jpg","1","41"
"home","Stanley Park,Ottupattarai,Coonoor, Oootacamund,Tamil Nadu,India,643105,11.3484,76.7937","4","8","10","cook,laundry,cleaning","television,cable or satellite tv,internet,wifi,air conditioning,hot water,swimming pool,kitchen,parking,washer dryer,gym",,"Sunvalley Homestay is one of the best high class homestays around Ooty / Coonoor and is best for family & friends gathering and executive corporate team building events","1500,,","2011-11-21,2011-12-20,2500,,",,"Sunvalley homestay","We created the best homestay venue and great home cooked foods specially prepared for you. Enjoy your holiday at our cottage in Ooty, one of the best among other hotels and resorts in and around Ooty or coonoor","Sunvalley1.jpg,Sunvalley2.jpg,Sunvalley3.jpg,Sunvalley.jpg","2","6"
"home","Clovelly East,Club Road,Coonoor, Ootacamund,Tamil Nadu,India,643 101,11.3484,76.7937","3","6","10","cook,laundry,cleaning","hot water,kitchen,parking",,"The Nilgiris, in the beautiful, small and clean city of COONOOR, we provide u with handsome and hand-some package of this ethnic and non-commercial tourism.","1100,,","2011-11-22,2011-12-20,1400,,",,"The Devashola","It is a fact that we have forgotten to laugh at ourselves, to enjoy the small beauties and joys of life, to get in touch with ourselves.","Devashola1.jpg,Devashola2.jpg,Devashola3.png,Devashola4.png,Devashola.jpg","3","31"
"home","775, 3rd Main 4th block,Rajaji Nagar,Bangalore,Karnataka,India,560 010,12.9906,77.5533","4","4","4","cook,laundry,cleaning","hot water,kitchen,parking",,"A friendly warning to all concerned: One trip to Coorg (Kodagu) and it’ll haunt you for the rest of your life. You might leave Coorg","2000,,","2011-11-23,2011-12-22,2200,,","2011-12-20,2012-1-10","Nature Nest","Coorg is on the Western Ghats. Set amidst verdant valleys, imposing mountains and teak wood forests, this is one of the most beautiful hill stations you can visit","Nature1.jpg,Nature2.jpg,Nature3.jpg,Nature4.jpg,Nature.jpg","4","47"
"home","City Center,Main Street,Fort Cochin,Cochin,Kerala,India,682001,9.9312,76.2673","3","3","5","cook,laundry,cleaning","hot water,kitchen,parking,washer dryer",,"n every nook of its spacious rooms and in every beam of polished wood. The grandeur and sateliness of a bygone era are evident","3500,,","2011-11-24,2011-12-23,4000,,",,"Kimansion","The approach to Kimansion is nothing short of picturesque. Set in a somnolent quarter of Fort Kochi, it is short walk from the beach","Kimansion1.jpg,Kimansion2.jpg,Kimansion3.jpg,Kimansion4.jpg,Kimansion.jpg","5","36"
